Identifiant,Nom,Email,Âge,Ville,Sexe,Date d'inscription,Dernière connexion,Catégorie préférée,Appareil,produit acheté
1,Yacine Ait Ben Hadi,yacine.ait ben hadi@yahoo.fr,44,Khouribga,Homme,2021-06-23,2024-01-21 07:06:57.289253,Sport,ordinateur portable,Adidas Chaussure Court Blanc
2,Aicha Alaoui,aicha.alaoui@hotmail.com,49,El Jadida,Femme,2024-10-04,2024-01-30 17:11:07.984653,Électronique,téléphone,Console de Jeu Vidéo Rétro Portable
3,Reda Amine,reda.amine@hotmail.com,35,Khouribga,Homme,2021-03-02,2024-01-08 23:06:05.130763,Électronique,téléphone,Data Frog 4K HD Console de jeu vidéo 2.4G Double contrôleur sans fil
4,Hassan El Ghazoui,hassan.el ghazoui@gmail.com,46,Meknès,Homme,2023-01-06,2024-08-14 18:58:10.814276,Électronique,téléphone,Data Frog Console de Jeu Vidéo Portable Rétro Jeux Bâton TV Bâton 4K Lite USB Jeux pour Gameboy Sega PS1 NES GBA SNES
5,Yacine Benyahia,yacine.benyahia@yahoo.fr,65,Meknès,Homme,2020-06-19,2024-05-15 23:25:19.345705,Électronique,ordinateur portable,"Console de jeu vidéo sans fil, écran HD 4K 64Gb HDMI avec 10000 jeux + 2 Manettes"
6,Samira El Mansouri,samira.el mansouri@gmail.com,61,Tanger,Femme,2024-08-21,2024-06-24 11:13:58.985507,Sport,ordinateur portable,Adidas Chaussure Court Blanc
7,Youssef El Bouziani,youssef.el bouziani@gmail.com,21,Safi,Homme,2022-04-09,2024-09-14 16:29:37.383008,Électronique,ordinateur portable,"Logitech G102 Souris Gaming légère avec éclairage RVB personnalisable, 6 boutons programmables, capteur de qualité de jeu, suivi 8 K dpi, couleur 16,8 mn, poids léger - Noir"
8,Mohamed Derkaoui,mohamed.derkaoui@gmail.com,18,Tanger,Homme,2024-07-01,2024-07-27 03:14:25.091664,Électronique,ordinateur portable,"Console de jeu vidéo sans fil, écran HD 4K 64Gb HDMI avec 10000 jeux + 2 Manettes"
9,Ikram Alami,ikram.alami@yahoo.fr,36,El Jadida,Femme,2024-05-11,2024-04-22 20:37:49.067774,Électronique,ordinateur portable,Xtrike Souris USB Gamer Optical GM-510 avec 7 boutons et 4800 DPI
10,Soukaina Qoubaa,soukaina.qoubaa@hotmail.com,48,Safi,Femme,2020-07-24,2024-04-25 08:06:28.027480,Beauté,ordinateur portable,L'Oréal Paris Offre spéciale Écran Visage UV Defender à l'acide hyaluronique SPF 50+ Moisture Fresh = Trousse Offerte
11,Walid El Asri,walid.el asri@yahoo.fr,23,Beni Mellal,Homme,2020-10-11,2024-07-02 21:48:31.079491,Maison,téléphone,Tableau moderne fleur jaune et doré 1 Pièce
12,Hassan Taoufik,hassan.taoufik@hotmail.com,60,Safi,Homme,2020-02-24,2024-01-14 01:28:38.633267,Maison,ordinateur portable,Echolink 43 Smart TV Frameless FHD-43SK12-1080P - Récepteur Intégré - HDMI
13,Omar El Maghraoui,omar.el maghraoui@hotmail.com,67,Tanger,Homme,2022-06-27,2024-08-30 16:27:12.858547,Sport,ordinateur portable,Adidas Chaussure Court Blanc
14,Badr Fassi Fihri,badr.fassi fihri@yahoo.fr,29,Kénitra,Homme,2024-08-08,2024-08-19 22:50:16.625042,Mode,téléphone,Birkenstock Arizona Big Buckle Nubuck Leather Burnt Orange
15,Souhail Aït Said,souhail.aït said@yahoo.fr,46,Beni Mellal,Homme,2024-08-31,2024-03-01 20:22:21.322610,Mode,ordinateur portable,Birkenstock Arizona Big Buckle Nubuck Leather Burnt Orange
16,Ayman Daki,ayman.daki@gmail.com,43,Meknès,Homme,2022-10-05,2024-01-04 05:32:21.000447,Électronique,téléphone,"Data Frog Manette sans fil RGB Multifonctions, avec batterie 1000mAh, Fonction Turbo programmable"
17,Laila Chaoui,laila.chaoui@gmail.com,25,Oujda,Femme,2023-09-26,2024-06-30 17:06:52.431770,Mode,ordinateur portable,Jacket Homme-Automne noir
